page,variant,cohort,gender,location,location_code,uid,audio,Maincategory,Subcategory,Pagetitle,Pagenumber
158,ù,jung,M,Mels,SG06,ASHR,158_Küche_ù_jung_M_Mels_SG06_ASHR.wav,Lautung,Vokale,Küche,158
238,ei,jung,M,Willisau,LU06,TIXC,238_ZIns_ei_jung_M_Willisau_LU06_TIXC.wav,Lautung,Konsonanten,Zins,238
354,'(Ist) gern geschehen',alt,W,Sumiswald,BE22,BBCP,354_Dankeserwiderung_'(Ist) gern geschehen'_alt_W_Sumiswald_BE22_BBCP.wav,Sprache im Alltag,Höflichkeit,Dankeserwiderung,354
212,kh,jung,W,Chur-Masans,GR01,XSVA,212_Kind_kh_jung_W_Chur-Masans_GR01_XSVA.wav,Lautung,Konsonanten,Kind,212
188,ùù-oo,jung,M,Zweisimmen,BE25,XDYX,188_Augen_ùù-oo_jung_M_Zweisimmen_BE25_XDYX.wav,Lautung,Vokale,Augen,188
50,Pfärd,jung,M,Maur,ZH04,PYRT,050_Pferd_Pfärd_jung_M_Maur_ZH04_PYRT.wav,Wortschatz,Tier,Pferd,50
310,der,alt,W,Oberriet,SG07,BTKD,310_Migros_der_alt_W_Oberriet_SG07_BTKD.wav,Grammatik,Genuss,Migros,310
196,üè-palatalisiert,alt,W,St Niklaus,VS08,CGIB,196_Bruder_üè-palatalisiert_alt_W_St Niklaus_VS08_CGIB.wav,Lautung,Vokale,Bruder,196
120,Baby,jung,W,Bülach,ZH02,TPTK,120_Baby_Baby_jung_W_Bülach_ZH02_TPTK.wav,Wortschatz,Mensch,Baby,120
258,sch,jung,W,Horgen,ZH03,GHLF,258_du kommst_sch_jung_W_Horgen_ZH03_GHLF.wav,Grammatik,Verb,du kommst,258
100,(Zucker-)Bol(l)e,jung,M,Ebnat Kappel,SG02,IPJN,100_Bonbon_(Zucker-)Bol(l)e_jung_M_Ebnat Kappel_SG02_IPJN.wav,Wortschatz,Essen und Trinken,Bonbon,100
72,schauggle,alt,W,Churwalden,GR02,IKIA,072_schaukeln_schauggle_alt_W_Churwalden_GR02_IKIA.wav,Wortschatz,Haus und Garten,schaukeln,72
334,es chunt go rägne,jung,M,Igis,GR04,HVLO,334_Es kommt regnen_es chunt go rägne_jung_M_Igis_GR04_HVLO.wav,Grammatik,Satzbau,Es kommt regnen,334
284,Hundi,jung,M,Grindelwald,BE10,FQAF,284_Hündchen_Hundi_jung_M_Grindelwald_BE10_FQAF.wav,Grammatik,Substantiv,Hündchen,284
66,Glunte,alt,M,Frutigen,BE09,AQZL,066_Pfütze_Glunte_alt_M_Frutigen_BE09_AQZL.wav,Wortschatz,Haus und Garten,Pfütze,66
268,prunge,alt,M,Escholzmatt,LU01,YOFQ,268_gebracht_prunge_alt_M_Escholzmatt_LU01_YOFQ.wav,Grammatik,Verb,gebracht,268
70,Zuin,alt,W,Blatten,VS01,YELS,070_Zaun_Zuin_alt_W_Blatten_VS01_YELS.wav,Wortschatz,Haus und Garten,Zaun,70
256,chumu,jung,M,Saas-Grund,VS05,GXEB,256_ich komme_chumu_jung_M_Saas-Grund_VS05_GXEB.wav,Grammatik,Verb,ich komme,256
226,ggs,jung,W,Schiers,GR06,BYRX,226_sechs_ggs_jung_W_Schiers_GR06_BYRX.wav,Lautung,Konsonanten,sechs,226
166,ee,jung,W,Zermatt,VS11,EBCW,166_Käse_ee_jung_W_Zermatt_VS11_EBCW.wav,,,,0
228,ren,alt,M,Grindelwald,BE10,RVPF,228_gern_ren_alt_M_Grindelwald_BE10_RVPF.wav,Lautung,Konsonanten,gern,228
228,r,alt,W,Düdingen,FR01,LOHZ,228_gern_r_alt_W_Düdingen_FR01_LOHZ.wav,Lautung,Konsonanten,gern,228
112,Rugel(i),alt,M,Lungern,OW02,BDJF,112_Dutt_Rugel(i)_alt_M_Lungern_OW02_BDJF.wav,Wortschatz,Mensch,Dutt,112
70,Gländer,jung,M,Büren,BE06,EJPH,070_Zaun_Gländer_jung_M_Büren_BE06_EJPH.wav,Wortschatz,Haus und Garten,Zaun,70
334,es chunt go rägne,alt,M,Igis,GR04,FSUY,334_Es kommt regnen_es chunt go rägne_alt_M_Igis_GR04_FSUY.wav,Grammatik,Satzbau,Es kommt regnen,334
172,oe,jung,W,Oberriet,SG07,EXRW,172_Brot_oe_jung_W_Oberriet_SG07_EXRW.wav,Lautung,Vokale,Brot,172
26,lüeg,alt,M,Brig-Glis-Gamsen-Ried-Brig,VS03,WUCN,026_schau_lüeg_alt_M_Brig-Glis-Gamsen-Ried-Brig_VS03_WUCN.wav,Wortschatz,Häufige Wörter,schau!,26
40,z,jung,W,Bosco-Gurin,TI01,FVIK,040_nach-auf_z_jung_W_Bosco-Gurin_TI01_FVIK.wav,Wortschatz,Häufige Wörter,nach/auf,40
54,Biene,jung,W,Wilchingen,SH02,TIKO,054_Biene_Biene_jung_W_Wilchingen_SH02_TIKO.wav,Wortschatz,Tier,Biene,54
196,iä,alt,W,Altdorf,UR02,RJVT,196_vier_iä_alt_W_Altdorf_UR02_RJVT.wav,,,,0
186,äi,jung,W,Churwalden,GR02,LAKO,186_Geiss_äi_jung_W_Churwalden_GR02_LAKO.wav,Lautung,Vokale,Geiss,186
54,Bii(j)i,jung,W,Turtmann,VS09,BFKG,054_Biene_Bii(j)i_jung_W_Turtmann_VS09_BFKG.wav,Wortschatz,Tier,Biene,54
232,nd,jung,W,Winterthur,ZH06,UFAM,232_finden_nd_jung_W_Winterthur_ZH06_UFAM.wav,Lautung,Konsonanten,finden,232
172,oou,alt,W,Innerthal,SZ02,STIG,172_Brot_oou_alt_W_Innerthal_SZ02_STIG.wav,Lautung,Vokale,Brot,172
256,chu,alt,W,Bosco-Gurin,TI01,GJCI,256_ich komme_chu_alt_W_Bosco-Gurin_TI01_GJCI.wav,Grammatik,Verb,ich komme,256
40,ga,jung,W,Schiers,GR06,BYRX,040_nach-auf_ga_jung_W_Schiers_GR06_BYRX.wav,Wortschatz,Häufige Wörter,nach/auf,40
268,gibrungu,alt,W,Turtmann,VS09,LSIS,268_gebracht_gibrungu_alt_W_Turtmann_VS09_LSIS.wav,Grammatik,Verb,gebracht,268
116,Schnu(u)ppe(r),jung,M,Zofingen,AG11,VITE,116_Schnupfen_Schnu(u)ppe(r)_jung_M_Zofingen_AG11_VITE.wav,Wortschatz,Mensch,Schnupfen,116
84,Heidelbe(e)r(i),alt,M,Weinfelden,TG06,WNMA,084_Heidelbeere_Heidelbe(e)r(i)_alt_M_Weinfelden_TG06_WNMA.wav,Wortschatz,Essen und Trinken,Heidelbeere,84
166,ie,jung,M,Jaun,FR04,DGSC,166_Käse_ie_jung_M_Jaun_FR04_DGSC.wav,,,,0
196,iè,alt,M,Brig-Glis-Gamsen-Ried-Brig,VS03,TYEY,196_vier_iè_alt_M_Brig-Glis-Gamsen-Ried-Brig_VS03_TYEY.wav,,,,0
112,Bürzi,alt,W,Bern,BE03,SFID,112_Dutt_Bürzi_alt_W_Bern_BE03_SFID.wav,Wortschatz,Mensch,Dutt,112
122,Bääbi,jung,M,Münchenbuchsee,BE18,VATG,122_Puppe_Bääbi_jung_M_Münchenbuchsee_BE18_VATG.wav,Wortschatz,Gesellschaft,Puppe,122
278,Betti,alt,W,Saas-Grund,VS05,QDBA,278_Bett Plural_Betti_alt_W_Saas-Grund_VS05_QDBA.wav,Grammatik,Substantiv,Bett Plural,278
70,Zuu,alt,W,Vättis,SG11,CBHV,070_Zaun_Zuu_alt_W_Vättis_SG11_CBHV.wav,Wortschatz,Haus und Garten,Zaun,70
78,Ggu(u)tschi,alt,W,Churwalden,GR02,IKIA,078_Sofa_Ggu(u)tschi_alt_W_Churwalden_GR02_IKIA.wav,Wortschatz,Haus und Garten,Sofa,78
268,gibrungu,jung,W,Turtmann,VS09,IGVA,268_gebracht_gibrungu_jung_W_Turtmann_VS09_IGVA.wav,Grammatik,Verb,gebracht,268
330,(won i es Chind) bi(n) gsii,jung,M,Lauterbrunnen,BE16,XQYH,330_gewesen bin_(won i es Chind) bi(n) gsii_jung_M_Lauterbrunnen_BE16_XQYH.wav,Grammatik,Satzbau,gewesen bin,330
316,die,alt,W,Zermatt,VS11,FVIZ,316_Hochzeit_die_alt_W_Zermatt_VS11_FVIZ.wav,Grammatik,Genuss,Hochzeit,316
54,Biili,alt,M,Muotathal,SZ03,AOLG,054_Biene_Biili_alt_M_Muotathal_SZ03_AOLG.wav,Wortschatz,Tier,Biene,54
300,dich,alt,W,Fischingen,TG03,FPFX,300_dich-dir_dich_alt_W_Fischingen_TG03_FPFX.wav,Grammatik,Pronomen,dich/dir,300
148,è,alt,M,Weinfelden,TG06,WNMA,148_Wespe_è_alt_M_Weinfelden_TG06_WNMA.wav,Lautung,Vokale,Wespe,148
150,e,alt,M,Hintere Linthal-Auen,GL01,ROMW,150_Speck_e_alt_M_Hintere Linthal-Auen_GL01_ROMW.wav,Lautung,Vokale,Speck,150
318,der,alt,F,Ermatingen,TG02,AHQM,318_Pult_der_alt_F_Ermatingen_TG02_AHQM.wav,Grammatik,Genuss,Pult,318
72,geiggu,jung,W,Blatten,VS01,GOLW,072_schaukeln_geiggu_jung_W_Blatten_VS01_GOLW.wav,Wortschatz,Haus und Garten,schaukeln,72
328,gaa laa,jung,W,Amriswil,TG01,CBVP,328_gehen lassen_gaa laa_jung_W_Amriswil_TG01_CBVP.wav,Grammatik,Satzbau,gehen lassen,328
72,ggeit(j)u,jung,W,Turtmann,VS09,DNOS,072_schaukeln_ggeit(j)u_jung_W_Turtmann_VS09_DNOS.wav,Wortschatz,Haus und Garten,schaukeln,72
232,ng,alt,W,Burgdorf,BE07,FTDY,232_finden_ng_alt_W_Burgdorf_BE07_FTDY.wav,Lautung,Konsonanten,finden,232
196,Brüetsch,alt,W,Konolfingen,BE13,SPYB,196_Bruder_Brüetsch_alt_W_Konolfingen_BE13_SPYB.wav,Lautung,Vokale,Bruder,196
246,MaschIne,jung,M,Bülach,ZH02,BLTF,246_Maschine_MaschIne_jung_M_Bülach_ZH02_BLTF.wav,Lautung,Prosodie,Maschine,246
78,Chanabee,jung,M,Ebnat-Kappel,SG02,LHAU,078_Sofa_Chanabee_jung_M_Ebnat-Kappel_SG02_LHAU.wav,Wortschatz,Haus und Garten,Sofa,78
166,èè,alt,W,Bülach,ZH02,BNAJ,166_Käse_èè_alt_W_Bülach_ZH02_BNAJ.wav,,,,0
44,Güggu,alt,W,Burgdorf,BE07,FTDY,044_Hahn_Güggu_alt_W_Burgdorf_BE07_FTDY.wav,Wortschatz,Tier,Hahn,44
122,Nuschi,alt,W,Visp,VS10,QYGT,122_Puppe_Nuschi_alt_W_Visp_VS10_QYGT.wav,Wortschatz,Gesellschaft,Puppe,122
54,Bien(d)li,jung,W,Winterthur,ZH06,UFAM,054_Biene_Bien(d)li_jung_W_Winterthur_ZH06_UFAM.wav,Wortschatz,Tier,Biene,54
116,Ggoggalüüsch,alt,M,Turtmann,VS09,TKJD,116_Schnupfen_Ggoggalüüsch_alt_M_Turtmann_VS09_TKJD.wav,Wortschatz,Mensch,Schnupfen,116
278,Better,alt,W,Ebnat-Kappel,SG02,LTSZ,278_Bett Plural_Better_alt_W_Ebnat-Kappel_SG02_LTSZ.wav,Grammatik,Substantiv,Bett Plural,278
188,oi,alt,W,Blatten,VS01,IDFP,188_Augen_oi_alt_W_Blatten_VS01_IDFP.wav,Lautung,Vokale,Augen,188
54,Bieni,jung,W,Düdingen,FR01,BFKG,054_Biene_Bieni_jung_W_Düdingen_FR01_BFKG.wav,Wortschatz,Tier,Biene,54
312,der,jung,F,Fischingen,TG03,NMCH,312_Tee_der_jung_F_Fischingen_TG03_NMCH.wav,Grammatik,Genuss,Tee,312
156,o,jung,M,Zürich,ZH07,FNVT,156_gotte_o_jung_M_Zürich_ZH07_FNVT.wav,Lautung,Vokale,Gotte,156
88,Züübele,alt,M,Freiburg,FR02,BYPQ,088_Zwiebel_Züübele_alt_M_Freiburg_FR02_BYPQ.wav,Wortschatz,Essen und Trinken,Zwiebel,88
154,ì,alt,W,Vättis,SG11,CBHV,154_Schlitten_ì_alt_W_Vättis_SG11_CBHV.wav,Lautung,Vokale,Schlitten,154
170,ei,alt,W,Engelberg,OW01,AGAO,170_Eis (Vokal)_ei_alt_W_Engelberg_OW01_AGAO.wav,Lautung,Vokale,Eis (Vokal),170
228,ra,jung,W,Igis,GR04,XAEL,228_gern_ra_jung_W_Igis_GR04_XAEL.wav,Lautung,Konsonanten,gern,228
338,Guete Morge(d),jung,W,Amriswil,TG01,CBVP,338_Grussformeln (morgens)_Guete Morge(d)_jung_W_Amriswil_TG01_CBVP.wav,Sprache im Alltag,Grussformeln,Grussformeln (morgens),338
76,Schöübe,alt,F,Vals,GR09,MXCL,076_Schublade_Schöübe_alt_F_Vals_GR09_MXCL.wav,Wortschatz,Haus und Garten,Schublade,76
272,'wirst',jung,W,Brugg,AG03,RWZQ,272_kommen-werden_'wirst'_jung_W_Brugg_AG03_RWZQ.wav,Grammatik,Verb,kommen/werden,272
82,Bütschgi,jung,W,Würenlingen,AG10,CRWO,082_Apfelüberrest_Bütschgi_jung_W_Würenlingen_AG10_CRWO.wav,,,,0
70,Hag,jung,W,Altdorf,UR01,VQVH,070_Zaun_Hag_jung_W_Altdorf_UR01_VQVH.wav,Wortschatz,Haus und Garten,Zaun,70
104,Schoggola,jung,W,St. Niklaus,VS08,EUGJ,104_Schoggistängeli_Schoggola_jung_W_St. Niklaus_VS08_EUGJ.wav,,,,0
