page,slug
17,yanny-laurel
26,schau
28,coop
30,nichts
32,etwas
34,jemand
38,in-zu
40,nach-auf
42,herauf
42,hinauf
44,hahn
46,kueken
48,kater
50,pferd
52,eidechse
54,biene
56,heuschrecke
58,schmetterling
60,loewenzahn
62,begiessen
64,giesskanne
66,pfuetze
68,regenschirm
70,zaun
72,schaukeln
74,treppe
76,schublade
78,sofa
80,kochschuerze
82,ueberrest-eines-apfels
84,heidelbeere
86,rande
88,zwiebel
90,kartoffel
92,roesti
94,kaesekruste
96,brotanschnitt
98,butter
100,bonbon
102,schokolade
104,schokoladenstaengel
106,wange
108,sommersprossen
110,quetschfleck
112,dutt
114,schluckauf
116,schnupfen
118,urinieren
120,baby
122,puppe
124,glasmurmeln
126,kosewort
128,kuss
130,ohrfeige
132,kneifen
134,fluestern
136,plaudern
138,taschentuch
140,schlittschuh-laufen
142,kondukteur
146,achse
148,wespe
150,speck
152,bett
154,schlitten
156,gotte
158,kueche
160,tanne-schwa
162,abend-vokal
164,abend-endung
166,kaese
168,schnee
170,eis-vokal
172,brot
174,maus
176,maeuse
178,schneien
180,bauen
182,neu
184,nase
186,geiss
188,augen
190,frauen
192,heuen
194,vier
196,bruder
198,fuesse
200,tief
202,apfel
204,schwester
206,brille
208,ruecken-bruecke-muecke-druecken
210,tag-tanne-anlaut
212,kind
214,rad
216,eis-konsonant
218,tanne-geminate
220,himmel-geminate
222,salz
224,folgen
224,himmel-l-vokalisierung
225,strael
225,sohle
226,sechs
228,gern
230,darm
232,finden
234,hund
236,fenster
238,zins
240,trinken
242,patrick
244,kiosk
246,maschine
248,militaer
252,sprechgeschwindigkeit
256,ich-komme
258,du-kommst
260,kommen-plural
262,haben-plural
264,sein-plural
266,tragen-getragen
268,gebracht
270,bekommen
272,kommen-werden
274,tanne-plural
276,mann-plural
278,bett-plural
280,postauto-plural
282,fliege-sonne-kerze-bruecke
284,huendchen
286,bernerin
288,spitznamen
290,alte-maenner
292,die-ganze-nacht
294,spaet
296,der-geissbock-ist-wild
298,ich
300,dich-dir
302,meine-cousine
304,zwei-maenner-frauen-kinder
306,drei-maenner-frauen-kinder
308,coop
310,migros
312,tee
314,teller
316,hochzeit
318,pult
320,tunnel
322,mirjams-hut
324,der-patrick
328,gehen-lassen
330,gewesen-bin
332,lass-ihn-gehen
334,es-kommt-regnen
338,grussformeln-morgens
340,grussformeln-mittags
342,grussformeln-nachmittags
344,grussformeln-abends
346,grussformeln-beim-wandern
354,dankeserwiderung
362,vergleichstext
